,Player,Pos.,Team ▾,Total Value,APY,"Total
Guaranteed","Avg.
Guarantee/Year",% Guaranteed
,Alex Bachman,WR,Raiders,"$1,030,000","$1,030,000",$0,$0,0.0%
,Jordan Meredith,C,Raiders,"$1,030,000","$1,030,000",$0,$0,0.0%
,McClendon Curtis,LG,Raiders,"$1,075,000","$1,075,000",$0,$0,0.0%
,Justin Shorter,WR,Raiders,"$1,075,000","$1,075,000",$0,$0,0.0%
,Alex Ward,LS,Raiders,"$1,145,000","$1,145,000",$0,$0,0.0%
,Devin White,LB,Raiders,"$1,170,000","$1,170,000",$0,$0,0.0%
,Stone Forsythe,LT,Raiders,"$1,170,000","$1,170,000",$0,$0,0.0%
,Jon Rhattigan,LB,Raiders,"$1,170,000","$1,170,000",$0,$0,0.0%
,Jamin Davis,LB,Raiders,"$1,215,000","$1,215,000",$0,$0,0.0%
,Joshua Miles,RT,Raiders,"$1,215,000","$1,215,000",$0,$0,0.0%
,Albert Okwuegbunam,TE,Raiders,"$1,215,000","$1,215,000",$0,$0,0.0%
,Jamal Adams,LB,Raiders,"$1,255,000","$1,255,000",$0,$0,0.0%
,Terrell Edmunds,S,Raiders,"$1,255,000","$1,255,000",$0,$0,0.0%
,Tyler Lockett,WR,Raiders,"$1,255,000","$1,255,000",$0,$0,0.0%
,Phillip Dorsett,WR,Raiders,"$1,300,000","$1,300,000",$0,$0,0.0%
,Carter Runyon,TE,Raiders,"$1,845,000","$922,500",$0,$0,0.0%
,Jahfari Harvey,EDGE,Raiders,"$1,845,000","$922,500",$0,$0,0.0%
,Greedy Vance Jr.,CB,Raiders,"$1,845,000","$922,500",$0,$0,0.0%
,Tristin McCollum,CB,Raiders,"$1,945,000","$1,945,000",$0,$0,0.0%
,Kyu Blu Kelly,CB,Raiders,"$1,945,000","$972,500",$0,$0,0.0%
,Thomas Booker,IDL,Raiders,"$1,945,000","$972,500",$0,$0,0.0%
,Chigozie Anusiem,CB,Raiders,"$2,035,000","$1,017,500",$0,$0,0.0%
,Shedrick Jackson,WR,Raiders,"$2,035,000","$1,017,500",$0,$0,0.0%
,Atonio Mafi,LG,Raiders,"$2,175,000","$1,087,500",$0,$0,0.0%
,Brodric Martin,IDL,Raiders,"$2,175,000","$1,087,500",$0,$0,0.0%
,Matt Stafford,QB,Rams,"$80,000,000","$40,000,000","$40,000,000","$20,000,000",50.0%
,Alaric Jackson,LT,Rams,"$57,750,000","$19,250,000","$30,000,000","$10,000,000",51.9%
,Davante Adams,WR,Rams,"$44,000,000","$22,000,000","$26,000,000","$13,000,000",59.1%
,Kevin Dotson,RG,Rams,"$48,000,000","$16,000,000","$24,000,000","$8,000,000",50.0%
,Poona Ford,IDL,Rams,"$27,600,000","$9,200,000","$15,600,000","$5,200,000",56.5%
,Emmanuel Forbes,CB,Rams,"$15,407,568","$3,851,892","$15,407,568","$3,851,892",100.0%
,Kyren Williams,RB,Rams,"$33,000,000","$11,000,000","$15,145,000","$5,048,333",45.9%
,Jared Verse,EDGE,Rams,"$15,134,346","$3,783,587","$15,134,346","$3,783,587",100.0%
,Nate Landman,LB,Rams,"$22,500,000","$7,500,000","$10,277,777","$3,425,926",45.7%
,Colby Parkinson,TE,Rams,"$22,500,000","$7,500,000","$10,250,000","$3,416,667",45.6%
,Tutu Atwell,WR,Rams,"$10,000,000","$10,000,000","$10,000,000","$10,000,000",100.0%
,Darious Williams,CB,Rams,"$22,500,000","$7,500,000","$10,000,000","$3,333,333",44.4%
,Coleman Shelton,RG,Rams,"$12,000,000","$6,000,000","$9,000,000","$4,500,000",75.0%
,Quentin Lake,S,Rams,"$38,250,000","$12,750,000","$8,500,000","$2,833,333",22.2%
,Terrance Ferguson,TE,Rams,"$9,713,466","$2,428,367","$8,046,753","$2,011,688",82.8%
,Braden Fiske,IDL,Rams,"$9,410,122","$2,352,531","$7,643,653","$1,910,913",81.2%
,Steve Avila,LG,Rams,"$9,252,708","$2,313,177","$7,442,147","$1,860,537",80.4%
,Roger McCreary,CB,Rams,"$9,165,614","$2,291,404","$7,245,757","$1,811,439",79.1%
,Kamren Curl,S,Rams,"$9,000,000","$4,500,000","$6,000,000","$3,000,000",66.7%
,Jimmy Garoppolo,QB,Rams,"$3,005,000","$3,005,000","$3,005,000","$3,005,000",100.0%
,D.J. Humphries,LT,Rams,"$2,500,000","$2,500,000","$2,340,000","$2,340,000",93.6%
,David Quessenberry,RT,Rams,"$1,487,500","$1,487,500","$1,262,500","$1,262,500",84.9%
,Ahkello Witherspoon,CB,Rams,"$1,255,000","$1,255,000","$1,255,000","$1,255,000",100.0%
,Josaiah Stewart,EDGE,Rams,"$6,275,412","$1,568,853","$1,203,936","$300,984",19.2%
,Byron Young,EDGE,Rams,"$5,555,238","$1,388,810","$1,040,172","$260,043",18.7%
,Blake Corum,RB,Rams,"$5,763,762","$1,440,941","$1,011,828","$252,957",17.6%
,Jarquez Hunter,RB,Rams,"$5,198,780","$1,299,695","$998,784","$249,696",19.2%
,Kobie Turner,IDL,Rams,"$5,391,470","$1,347,868","$921,068","$230,267",17.1%
,Kamren Kinchens,S,Rams,"$5,596,312","$1,399,078","$890,044","$222,511",15.9%
,Stetson Bennett,QB,Rams,"$4,539,132","$1,134,783","$699,132","$174,783",15.4%
,Cobie Durant,CB,Rams,"$4,164,336","$1,041,084","$504,336","$126,084",12.1%
,Ty Hamilton,IDL,Rams,"$4,638,588","$1,159,647","$438,588","$109,647",9.5%
,Puka Nacua,WR,Rams,"$4,084,980","$1,021,245","$244,980","$61,245",6.0%
,Davis Allen,TE,Rams,"$4,084,980","$1,021,245","$244,980","$61,245",6.0%
,Warren McClendon,LT,Rams,"$4,084,980","$1,021,245","$244,980","$61,245",6.0%
,Tyler Davis,IDL,Rams,"$4,202,552","$1,050,638","$182,552","$45,638",4.3%
,Jordan Whittington,WR,Rams,"$4,158,388","$1,039,597","$138,388","$34,597",3.3%
,Beaux Limmer,C,Rams,"$4,158,388","$1,039,597","$138,388","$34,597",3.3%
,Konata Mumpfield,WR,Rams,"$4,308,536","$1,077,134","$108,536","$27,134",2.5%
,Ethan Evans,P,Rams,"$3,948,000","$987,000","$108,000","$27,000",2.7%
,Desjuan Johnson,IDL,Rams,"$3,917,784","$979,446","$77,784","$19,446",2.0%
,Josh Wallace,CB,Rams,"$2,890,000","$963,333","$60,000","$20,000",2.1%
,Shaun Dolac,LB,Rams,"$2,990,000","$996,667","$25,000","$8,333",0.8%
,Jaylen McCollough,S,Rams,"$2,845,000","$948,333","$15,000","$5,000",0.5%
,Omar Speights,LB,Rams,"$2,839,000","$946,333","$9,000","$3,000",0.3%
,Harrison Mevis,K,Rams,"$840,000","$840,000",$0,$0,0.0%
,Derion Kendrick,CB,Rams,"$1,030,000","$1,030,000",$0,$0,0.0%
,Nick Hampton,EDGE,Rams,"$1,030,000","$1,030,000",$0,$0,0.0%
,Keir Thomas,EDGE,Rams,"$1,030,000","$1,030,000",$0,$0,0.0%
,Ronnie Rivers,RB,Rams,"$1,100,000","$1,100,000",$0,$0,0.0%
,Troy Reeder,LB,Rams,"$1,170,000","$1,170,000",$0,$0,0.0%
,Nick Vannett,TE,Rams,"$1,255,000","$1,255,000",$0,$0,0.0%
,Jake McQuaide,LS,Rams,"$1,255,000","$1,255,000",$0,$0,0.0%
,Xavier Smith,WR,Rams,"$1,755,000","$877,500",$0,$0,0.0%
,Justin Dedich,C,Rams,"$1,755,000","$877,500",$0,$0,0.0%
,Alex Johnson,CB,Rams,"$1,935,000","$967,500",$0,$0,0.0%
,Mario Williams,WR,Rams,"$1,935,000","$967,500",$0,$0,0.0%
,Wyatt Bowles,LG,Rams,"$1,935,000","$967,500",$0,$0,0.0%
,Nate Valcarcel,S,Rams,"$1,935,000","$967,500",$0,$0,0.0%
,Bill Norton,IDL,Rams,"$1,935,000","$967,500",$0,$0,0.0%
,Brennan Presley,WR,Rams,"$1,935,000","$967,500",$0,$0,0.0%
,Mark Redman,TE,Rams,"$1,935,000","$967,500",$0,$0,0.0%
,Tru Edwards,WR,Rams,"$1,935,000","$967,500",$0,$0,0.0%
,Jordan Waters,RB,Rams,"$1,935,000","$967,500",$0,$0,0.0%
,Eli Neal,LB,Rams,"$2,125,000","$1,062,500",$0,$0,0.0%
,Dylan McMahon,C,Rams,"$2,125,000","$1,062,500",$0,$0,0.0%
,Cam Lampkin,CB,Rams,"$2,125,000","$1,062,500",$0,$0,0.0%
,Tanner Ingle,S,Rams,"$2,125,000","$1,062,500",$0,$0,0.0%
,A.J. Arcuri,RT,Rams,"$2,125,000","$1,062,500",$0,$0,0.0%
,Tyler Scott,WR,Rams,"$2,265,000","$1,132,500",$0,$0,0.0%
,Lamar Jackson,QB,Ravens,"$260,000,000","$52,000,000","$135,000,000","$27,000,000",51.9%
,Nnamdi Madubuike,IDL,Ravens,"$98,000,000","$24,500,000","$53,500,000","$13,375,000",54.6%
,Kyle Hamilton,S,Ravens,"$100,400,000","$25,100,000","$48,022,604","$12,005,651",47.8%
,Roquan Smith,LB,Ravens,"$100,000,000","$20,000,000","$45,000,000","$9,000,000",45.0%
,Ronnie Stanley,LT,Ravens,"$60,000,000","$20,000,000","$44,000,000","$14,666,667",73.3%
,Marlon Humphrey,CB,Ravens,"$97,500,000","$19,500,000","$39,957,407","$7,991,481",41.0%
,Derrick Henry,RB,Ravens,"$30,000,000","$15,000,000","$25,000,000","$12,500,000",83.3%
,Mark Andrews,TE,Ravens,"$39,267,000","$13,089,000","$20,944,444","$6,981,481",53.3%
,Travis Jones,IDL,Ravens,"$40,500,000","$13,500,000","$16,756,889","$5,585,630",41.4%
,Malaki Starks,S,Ravens,"$16,579,658","$4,144,915","$16,579,658","$4,144,915",100.0%
,Rashod Bateman,WR,Ravens,"$36,750,000","$12,250,000","$16,500,000","$5,500,000",44.9%
,Zay Flowers,WR,Ravens,"$14,036,440","$3,509,110","$14,036,440","$3,509,110",100.0%
,Tyler Linderbaum,C,Ravens,"$13,238,294","$3,309,574","$13,238,294","$3,309,574",100.0%
,Nate Wiggins,CB,Ravens,"$12,819,822","$3,204,956","$12,819,822","$3,204,956",100.0%
,Broderick Washington,IDL,Ravens,"$15,750,000","$5,250,000","$10,000,000","$3,333,333",63.5%
,Dre'Mont Jones,IDL,Ravens,"$8,500,000","$8,500,000","$7,900,000","$7,900,000",92.9%
,Alohi Gilman,S,Ravens,"$10,125,000","$5,062,500","$5,625,000","$2,812,500",55.6%
,David Ojabo,EDGE,Ravens,"$7,909,124","$1,977,281","$5,401,594","$1,350,399",68.3%
,DeAndre Hopkins,WR,Ravens,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",100.0%
,Mike Green,EDGE,Ravens,"$7,419,408","$1,854,852","$4,871,004","$1,217,751",65.7%
,Justice Hill,RB,Ravens,"$6,000,000","$3,000,000","$4,441,176","$2,220,588",74.0%
,Cooper Rush,QB,Ravens,"$6,200,000","$3,100,000","$4,000,000","$2,000,000",64.5%
,Roger Rosengarten,RT,Ravens,"$6,437,314","$1,609,329","$3,384,289","$846,072",52.6%
,Patrick Ricard,FB,Ravens,"$2,872,500","$2,872,500","$2,872,500","$2,872,500",100.0%
,Nick Moore,LS,Ravens,"$6,415,000","$1,603,750","$2,776,111","$694,028",43.3%
,Joseph Noteboom,LT,Ravens,"$2,000,000","$2,000,000","$2,000,000","$2,000,000",100.0%
,Tylan Wallace,WR,Ravens,"$2,100,000","$2,100,000","$1,350,000","$1,350,000",64.3%
,Chidobe Awuzie,CB,Ravens,"$1,255,000","$1,255,000","$1,255,000","$1,255,000",100.0%
,Emery Jones Jr.,RT,Ravens,"$6,273,520","$1,568,380","$1,202,560","$300,640",19.2%
,Trenton Simpson,LB,Ravens,"$5,404,502","$1,351,126","$930,548","$232,637",17.2%
,Adisa Isaac,EDGE,Ravens,"$5,648,034","$1,412,009","$927,660","$231,915",16.4%
,Teddye Buchanan,LB,Ravens,"$5,102,896","$1,275,724","$902,896","$225,724",17.7%
,Daniel Faalele,RG,Ravens,"$4,460,340","$1,115,085","$800,340","$200,085",17.9%
,Devontez Walker,WR,Ravens,"$4,817,852","$1,204,463","$797,852","$199,463",16.6%
,Tavius Robinson,EDGE,Ravens,"$4,560,564","$1,140,141","$720,564","$180,141",15.8%
,Charlie Kolar,TE,Ravens,"$4,364,880","$1,091,220","$704,880","$176,220",16.1%
,T.J. Tampa,CB,Ravens,"$4,718,456","$1,179,614","$698,456","$174,614",14.8%
,Jordan Stout,P,Ravens,"$4,357,832","$1,089,458","$697,832","$174,458",16.0%
,Isaiah Likely,TE,Ravens,"$4,164,336","$1,041,084","$504,336","$126,084",12.1%
,Carson Vinson,LT,Ravens,"$4,669,596","$1,167,399","$469,596","$117,399",10.1%
,John Jenkins,IDL,Ravens,"$2,000,000","$2,000,000","$345,000","$345,000",17.3%
,Rasheen Ali,RB,Ravens,"$4,309,868","$1,077,467","$289,868","$72,467",6.7%
,Bilhal Kone,CB,Ravens,"$4,477,144","$1,119,286","$277,144","$69,286",6.2%
,Tyler Loop,K,Ravens,"$4,444,772","$1,111,193","$244,772","$61,193",5.5%
,LaJohntay Wester,WR,Ravens,"$4,414,868","$1,103,717","$214,868","$53,717",4.9%
,Aeneas Peebles,IDL,Ravens,"$4,374,280","$1,093,570","$174,280","$43,570",4.0%
,Robert Longerbeam,CB,Ravens,"$4,374,280","$1,093,570","$174,280","$43,570",4.0%
,Andrew Vorhees,LG,Ravens,"$3,942,112","$985,528","$102,112","$25,528",2.6%
,Jake Hummel,LB,Ravens,"$1,200,000","$1,200,000","$100,000","$100,000",8.3%
,Keaton Mitchell,RB,Ravens,"$2,713,000","$904,333","$73,000","$24,333",2.7%
,Jay Higgins,LB,Ravens,"$2,985,000","$995,000","$30,000","$10,000",1.0%
,Corey Bullock,C,Ravens,"$840,000","$840,000",$0,$0,0.0%
,Dayton Wade,WR,Ravens,"$840,000","$840,000",$0,$0,0.0%
,Basil Okoye,IDL,Ravens,"$840,000","$840,000",$0,$0,0.0%
,Carl Jones Jr.,EDGE,Ravens,"$840,000","$840,000",$0,$0,0.0%
,Gerad Christian-Lichtenhan,LT,Ravens,"$885,000","$885,000",$0,$0,0.0%
,Cornelius Johnson,WR,Ravens,"$885,000","$885,000",$0,$0,0.0%
,David Olajiga,IDL,Ravens,"$885,000","$885,000",$0,$0,0.0%
,Jared Penning,LT,Ravens,"$885,000","$885,000",$0,$0,0.0%
,Marquise Robinson,CB,Ravens,"$885,000","$885,000",$0,$0,0.0%
,Kaimon Rucker,EDGE,Ravens,"$885,000","$885,000",$0,$0,0.0%
,Lucas Scott,RT,Ravens,"$885,000","$885,000",$0,$0,0.0%
,Tyler Huntley,QB,Ravens,"$1,170,000","$1,170,000",$0,$0,0.0%
,Amani Oruwariye,CB,Ravens,"$1,215,000","$1,215,000",$0,$0,0.0%
,Taven Bryan,IDL,Ravens,"$1,255,000","$1,255,000",$0,$0,0.0%
,Brent Urban,IDL,Ravens,"$1,255,000","$1,255,000",$0,$0,0.0%
,Keondre Jackson,S,Ravens,"$1,845,000","$922,500",$0,$0,0.0%
,Keyon Martin,CB,Ravens,"$2,965,000","$988,333",$0,$0,0.0%
,Ar'Darius Washington,S,Ravens,"$3,263,000","$3,263,000",$0,$0,0.0%
,Kyle Van Noy,EDGE,Ravens,"$4,250,000","$4,250,000",$0,$0,0.0%
,Kelvin Banks Jr.,LT,Saints,"$27,731,246","$6,932,812","$27,731,246","$6,932,812",100.0%
,Chase Young,EDGE,Saints,"$51,000,000","$17,000,000","$27,170,000","$9,056,667",53.3%
,Justin Reid,S,Saints,"$31,500,000","$10,500,000","$22,250,000","$7,416,667",70.6%
,Carl Granderson,EDGE,Saints,"$52,000,000","$13,000,000","$22,130,000","$5,532,500",42.6%
,Juwan Johnson,TE,Saints,"$30,750,000","$10,250,000","$21,250,000","$7,083,333",69.1%
,Erik McCoy,C,Saints,"$60,000,000","$12,000,000","$20,090,000","$4,018,000",33.5%
,Chris Olave,WR,Saints,"$19,271,872","$4,817,968","$19,271,872","$4,817,968",100.0%
,Alvin Kamara,RB,Saints,"$24,500,000","$12,250,000","$19,233,333","$9,616,667",78.5%
,Cesar Ruiz,RG,Saints,"$44,000,000","$11,000,000","$18,188,981","$4,547,245",41.3%
,Taliese Fuaga,LT,Saints,"$17,348,158","$4,337,040","$17,348,158","$4,337,040",100.0%
,Demario Davis,LB,Saints,"$17,250,000","$8,625,000","$13,250,000","$6,625,000",76.8%
,Bryan Bresee,IDL,Saints,"$12,263,552","$3,065,888","$12,263,552","$3,065,888",100.0%
,Pete Werner,LB,Saints,"$22,500,000","$7,500,000","$11,185,185","$3,728,395",49.7%
,Tyler Shough,QB,Saints,"$10,804,728","$2,701,182","$10,804,728","$2,701,182",100.0%
,Taysom Hill,TE,Saints,"$40,000,000","$10,000,000","$10,100,000","$2,525,000",25.3%
,Ja'Lynn Polk,WR,Saints,"$9,694,744","$2,423,686","$8,214,275","$2,053,569",84.7%
,Foster Moreau,TE,Saints,"$12,234,000","$4,078,000","$8,020,000","$2,673,333",65.6%
,Davon Godchaux,IDL,Saints,"$11,000,000","$5,500,000","$7,450,000","$3,725,000",67.7%
,Kool-Aid McKinstry,CB,Saints,"$9,157,108","$2,289,277","$7,282,112","$1,820,528",79.5%
,Cameron Jordan,EDGE,Saints,"$6,050,000","$6,050,000","$6,050,000","$6,050,000",100.0%
,Isaac Yiadom,CB,Saints,"$9,000,000","$3,000,000","$4,860,000","$1,620,000",54.0%
,Nathan Shepherd,IDL,Saints,"$8,520,000","$4,260,000","$4,551,000","$2,275,500",53.4%
,Alontae Taylor,CB,Saints,"$7,204,696","$1,801,174","$4,157,266","$1,039,317",57.7%
,Zach Wood,LS,Saints,"$6,310,000","$1,577,500","$2,300,000","$575,000",36.5%
,Dillon Radunz,RT,Saints,"$2,250,000","$2,250,000","$2,250,000","$2,250,000",100.0%
,Vernon Broughton,IDL,Saints,"$6,637,796","$1,659,449","$1,467,488","$366,872",22.1%
,Jonas Sanker,S,Saints,"$6,245,202","$1,561,301","$1,181,964","$295,491",18.9%
,Kendre Miller,RB,Saints,"$5,654,312","$1,413,578","$1,112,228","$278,057",19.7%
,Danny Stutsman,LB,Saints,"$5,228,364","$1,307,091","$1,028,364","$257,091",19.7%
,Quincy Riley,CB,Saints,"$5,087,236","$1,271,809","$887,236","$221,809",17.4%
,Nick Saldiveri,LG,Saints,"$4,745,280","$1,186,320","$842,280","$210,570",17.7%
,Landon Young,RT,Saints,"$2,327,500","$2,327,500","$509,500","$509,500",21.9%
,Spencer Rattler,QB,Saints,"$4,356,480","$1,089,120","$336,480","$84,120",7.7%
,Jordan Howden,S,Saints,"$4,166,728","$1,041,682","$326,728","$81,682",7.8%
,Luke Fortner,C,Saints,"$1,500,000","$1,500,000","$300,000","$300,000",20.0%
,Julian Blackmon,S,Saints,"$1,515,000","$1,515,000","$300,000","$300,000",19.8%
,Torricelli Simpkins III,RG,Saints,"$2,990,000","$996,667","$259,000","$86,333",8.7%
,Jaylan Ford,LB,Saints,"$4,274,276","$1,068,569","$254,276","$63,569",5.9%
,Bub Means,WR,Saints,"$4,274,276","$1,068,569","$254,276","$63,569",5.9%
,Devin Neal,RB,Saints,"$4,451,312","$1,112,828","$251,312","$62,828",5.6%
,Asim Richards,LG,Saints,"$4,084,980","$1,021,245","$244,980","$61,245",6.0%
,John Ridgeway,IDL,Saints,"$3,902,556","$975,639","$242,556","$60,639",6.2%
,Trey Palmer,WR,Saints,"$4,019,296","$1,004,824","$179,296","$44,824",4.5%
,Khristian Boyd,IDL,Saints,"$4,198,828","$1,049,707","$178,828","$44,707",4.3%
,Xavier Truss,RT,Saints,"$2,985,000","$995,000","$170,000","$56,667",5.7%
,Jonathan Bullard,IDL,Saints,"$1,422,500","$1,422,500","$167,500","$167,500",11.8%
,Will Clapp,C,Saints,"$1,422,500","$1,422,500","$167,500","$167,500",11.8%
,Ugochukwu Amadi,CB,Saints,"$1,280,000","$1,280,000","$110,000","$110,000",8.6%
,Mason Tipton,WR,Saints,"$2,840,000","$946,667","$110,000","$36,667",3.9%
,DeVaughn Vele,WR,Saints,"$4,124,480","$1,031,120","$104,480","$26,120",2.5%
,Jack Stoll,TE,Saints,"$1,270,000","$1,270,000","$100,000","$100,000",7.9%
,Jonah Williams,IDL,Saints,"$1,220,000","$1,220,000","$50,000","$50,000",4.1%
,Terrell Burgess,S,Saints,"$1,183,778","$1,183,778","$13,778","$13,778",1.2%
,Damien Alford,WR,Saints,"$3,110,000","$1,036,667","$10,000","$3,333",0.3%
,Mason Pline,TE,Saints,"$840,000","$840,000",$0,$0,0.0%
,Elijah Cooks,WR,Saints,"$1,005,000","$1,005,000",$0,$0,0.0%
,Beanie Bishop,CB,Saints,"$1,005,000","$1,005,000",$0,$0,0.0%
,Rejzohn Wright,CB,Saints,"$1,005,000","$1,005,000",$0,$0,0.0%
,Myles Cole,EDGE,Saints,"$1,005,000","$1,005,000",$0,$0,0.0%
,Isaiah Stalbird,S,Saints,"$1,075,000","$1,075,000",$0,$0,0.0%
,Chris Rumph II,EDGE,Saints,"$1,100,000","$1,100,000",$0,$0,0.0%
,Dante Pettis,WR,Saints,"$1,170,000","$1,170,000",$0,$0,0.0%
,Michael Davis,CB,Saints,"$1,255,000","$1,255,000",$0,$0,0.0%
,Moliki Matavao,TE,Saints,"$1,845,000","$922,500",$0,$0,0.0%
,William Sherman,LG,Saints,"$1,845,000","$922,500",$0,$0,0.0%
,Barry Wesley,LT,Saints,"$1,935,000","$967,500",$0,$0,0.0%
,Elliott Davison,S,Saints,"$1,935,000","$967,500",$0,$0,0.0%
,Coziah Izzard,IDL,Saints,"$1,935,000","$967,500",$0,$0,0.0%
,Easton Kilty,LT,Saints,"$1,935,000","$967,500",$0,$0,0.0%
,Dalys Beanum,CB,Saints,"$1,935,000","$967,500",$0,$0,0.0%
,Jayden Price,CB,Saints,"$1,935,000","$967,500",$0,$0,0.0%
,Evan Hull,RB,Saints,"$2,035,000","$1,017,500",$0,$0,0.0%
,Kevin Austin Jr.,WR,Saints,"$2,035,000","$1,017,500",$0,$0,0.0%
,Audric Estime,RB,Saints,"$2,035,000","$1,017,500",$0,$0,0.0%
,Ronnie Bell,WR,Saints,"$2,105,000","$1,052,500",$0,$0,0.0%
,Samori Toure,WR,Saints,"$2,105,000","$1,052,500",$0,$0,0.0%
,Kai Kroeger,P,Saints,"$2,125,000","$1,062,500",$0,$0,0.0%
,Zaire Mitchell-Paden,TE,Saints,"$2,125,000","$1,062,500",$0,$0,0.0%
,Charlie Smyth,K,Saints,"$2,965,000","$988,333",$0,$0,0.0%
,Treyton Welch,TE,Saints,"$2,965,000","$988,333",$0,$0,0.0%
,Fadil Diggs,EDGE,Saints,"$4,200,000","$1,050,000",$0,$0,0.0%
,Charles Cross,LT,Seahawks,"$104,400,000","$26,100,000","$43,060,000","$10,765,000",41.2%
,Sam Darnold,QB,Seahawks,"$100,500,000","$33,500,000","$37,500,000","$12,500,000",37.3%
,Devon Witherspoon,CB,Seahawks,"$31,861,152","$7,965,288","$31,861,152","$7,965,288",100.0%
,Leonard Williams,IDL,Seahawks,"$64,500,000","$21,500,000","$26,150,000","$8,716,667",40.5%
,Grey Zabel,LT,Seahawks,"$18,471,460","$4,617,865","$18,471,460","$4,617,865",100.0%
,Cooper Kupp,WR,Seahawks,"$45,000,000","$15,000,000","$17,500,000","$5,833,333",38.9%
,Byron Murphy,IDL,Seahawks,"$16,083,122","$4,020,781","$16,083,122","$4,020,781",100.0%
,Jaxon Smith-Njigba,WR,Seahawks,"$14,417,308","$3,604,327","$14,417,308","$3,604,327",100.0%
,Demarcus Lawrence,EDGE,Seahawks,"$32,500,000","$10,833,333","$13,000,000","$4,333,333",40.0%
,Abraham Lucas,RT,Seahawks,"$46,000,000","$15,333,333","$12,790,000","$4,263,333",27.8%
,Julian Love,S,Seahawks,"$33,000,000","$11,000,000","$11,965,000","$3,988,333",36.3%
,Nick Emmanwori,S,Seahawks,"$11,601,260","$2,900,315","$11,601,260","$2,900,315",100.0%
,Ernest Jones,LB,Seahawks,"$28,500,000","$9,500,000","$10,000,000","$3,333,333",35.1%
,Jason Myers,K,Seahawks,"$21,100,000","$5,275,000","$8,665,000","$2,166,250",41.1%
,Jarran Reed,IDL,Seahawks,"$22,000,000","$7,333,333","$8,000,000","$2,666,667",36.4%
,Michael Dickson,P,Seahawks,"$16,200,000","$4,050,000","$7,500,000","$1,875,000",46.3%
,Derick Hall,EDGE,Seahawks,"$9,115,604","$2,278,901","$7,222,566","$1,805,642",79.2%
,Uchenna Nwosu,EDGE,Seahawks,"$19,510,000","$9,755,000","$6,980,000","$3,490,000",35.8%
,Elijah Arroyo,TE,Seahawks,"$8,813,372","$2,203,343","$6,872,548","$1,718,137",78.0%
,Boye Mafe,EDGE,Seahawks,"$8,562,260","$2,140,565","$6,319,290","$1,579,823",73.8%
,Kenneth Walker III,RB,Seahawks,"$8,441,580","$2,110,395","$6,144,040","$1,536,010",72.8%
,Zach Charbonnet,RB,Seahawks,"$6,876,078","$1,719,020","$3,813,333","$953,333",55.5%
,Josh Jones,RG,Seahawks,"$4,000,000","$4,000,000","$3,000,000","$3,000,000",75.0%
,Drew Lock,QB,Seahawks,"$5,000,000","$2,500,000","$2,250,000","$1,125,000",45.0%
,Jalen Milroe,QB,Seahawks,"$6,264,086","$1,566,022","$1,195,700","$298,925",19.1%
,Christian Haynes,RG,Seahawks,"$5,802,764","$1,450,692","$1,040,192","$260,048",17.9%
,Rashid Shaheed,WR,Seahawks,"$6,185,000","$3,092,500","$1,000,000","$500,000",16.2%
,Coby Bryant,S,Seahawks,"$4,467,808","$1,116,952","$807,808","$201,952",18.1%
,Anthony Bradford,RG,Seahawks,"$4,643,988","$1,160,997","$803,988","$200,997",17.3%
,Eric Saubert,TE,Seahawks,"$2,670,000","$2,670,000","$788,888","$788,888",29.5%
,Tyrice Knight,LB,Seahawks,"$4,792,560","$1,198,140","$772,560","$193,140",16.1%
,A.J. Barner,TE,Seahawks,"$4,775,108","$1,193,777","$755,108","$188,777",15.8%
,Rylie Mills,IDL,Seahawks,"$4,667,500","$1,166,875","$467,500","$116,875",10.0%
,Nehemiah Pritchett,CB,Seahawks,"$4,399,072","$1,099,768","$379,072","$94,768",8.6%
,Tory Horton,WR,Seahawks,"$4,565,040","$1,141,260","$365,040","$91,260",8.0%
,Tariq Woolen,CB,Seahawks,"$3,992,216","$998,054","$332,216","$83,054",8.3%
,Mike Morris,EDGE,Seahawks,"$4,162,076","$1,040,519","$322,076","$80,519",7.7%
,Robbie Ouzts,TE,Seahawks,"$4,520,216","$1,130,054","$320,216","$80,054",7.1%
,Olusegun Oluwatimi,C,Seahawks,"$4,156,460","$1,039,115","$316,460","$79,115",7.6%
,Josh Jobe,CB,Seahawks,"$2,000,000","$2,000,000","$300,000","$300,000",15.0%
,Connor O'Toole,IDL,Seahawks,"$2,995,000","$998,333","$264,000","$88,000",8.8%
,Nick Kallerup,TE,Seahawks,"$2,990,000","$996,667","$259,000","$86,333",8.7%
,Bryce Cabeldue,RT,Seahawks,"$4,432,260","$1,108,065","$232,260","$58,065",5.2%
,Mason Richman,LT,Seahawks,"$4,325,924","$1,081,481","$125,924","$31,481",2.9%
,Dareke Young,WR,Seahawks,"$3,761,100","$940,275","$101,100","$25,275",2.7%
,Drake Thomas,LB,Seahawks,"$2,710,000","$903,333","$100,000","$33,333",3.7%
,Jared Ivey,LB,Seahawks,"$2,980,000","$993,333","$95,000","$31,667",3.2%
,Kenny McIntosh,RB,Seahawks,"$3,930,852","$982,646","$90,852","$22,713",2.3%
,Jake Bobo,WR,Seahawks,"$2,705,000","$901,667","$10,000","$3,333",0.4%
