,Player,Pos.,Team ▾,Total Value,APY,"Total
Guaranteed","Avg.
Guarantee/Year",% Guaranteed
,T.J. Sanders,IDL,Bills,"$10,645,408","$2,661,352","$10,072,496","$2,518,124",94.6%
,Keon Coleman,WR,Bills,"$10,074,258","$2,518,565","$9,640,495","$2,410,124",95.7%
,Tyler Bass,K,Bills,"$20,400,000","$5,100,000","$9,410,000","$2,352,500",46.1%
,Darius Slay,CB,Bills,"$10,000,000","$10,000,000","$8,745,000","$8,745,000",87.5%
,Larry Ogunjobi,IDL,Bills,"$6,696,735","$6,696,735","$5,426,735","$5,426,735",81.0%
,Taylor Rapp,S,Bills,"$10,625,000","$3,541,667","$3,675,000","$1,225,000",34.6%
,Cole Bishop,S,Bills,"$6,547,996","$1,636,999","$3,469,816","$867,454",53.0%
,O'Cyrus Torrence,RG,Bills,"$6,220,980","$1,555,245","$3,307,120","$826,780",53.2%
,David Edwards,LG,Bills,"$6,000,000","$3,000,000","$2,950,000","$1,475,000",49.2%
,Mitchell Trubisky,QB,Bills,"$5,250,000","$2,625,000","$2,710,000","$1,355,000",51.6%
,Ty Johnson,RB,Bills,"$5,000,000","$2,500,000","$2,490,000","$1,245,000",49.8%
,Reid Ferguson,LS,Bills,"$6,500,000","$1,625,000","$2,365,000","$591,250",36.4%
,Tre'Davious White,CB,Bills,"$3,000,000","$3,000,000","$2,200,000","$2,200,000",73.3%
,Damar Hamlin,S,Bills,"$2,000,000","$2,000,000","$2,000,000","$2,000,000",100.0%
,Landon Jackson,EDGE,Bills,"$6,618,982","$1,654,746","$1,453,804","$363,451",22.0%
,Cameron Lewis,CB,Bills,"$3,100,000","$1,550,000","$1,125,000","$562,500",36.3%
,Deone Walker,IDL,Bills,"$5,247,052","$1,311,763","$1,047,052","$261,763",20.0%
,Dorian Williams,LB,Bills,"$5,382,806","$1,345,702","$914,768","$228,692",17.0%
,DeWayne Carter,IDL,Bills,"$5,618,048","$1,404,512","$905,852","$226,463",16.1%
,Ray Davis,RB,Bills,"$4,733,188","$1,183,297","$713,188","$178,297",15.1%
,Sedrick Van Pran-Granger,C,Bills,"$4,375,252","$1,093,813","$355,252","$88,813",8.1%
,Jackson Hawes,TE,Bills,"$4,520,216","$1,130,054","$320,216","$80,054",7.1%
,Jordan Hancock,S,Bills,"$4,520,216","$1,130,054","$320,216","$80,054",7.1%
,Dorian Strong,CB,Bills,"$4,485,356","$1,121,339","$285,356","$71,339",6.4%
,Javon Solomon,EDGE,Bills,"$4,274,276","$1,068,569","$254,276","$63,569",5.9%
,Chase Lundt,RT,Bills,"$4,404,924","$1,101,231","$204,924","$51,231",4.7%
,Tylan Grable,LT,Bills,"$4,189,912","$1,047,478","$169,912","$42,478",4.1%
,Wande Owens,S,Bills,"$2,990,000","$996,667","$60,000","$20,000",2.0%
,Shane Buechele,QB,Bills,"$1,150,000","$1,150,000","$50,000","$50,000",4.3%
,Reggie Gilliam,FB,Bills,"$2,000,000","$2,000,000","$50,000","$50,000",2.5%
,Ryan Van Demark,RT,Bills,"$1,030,000","$1,030,000","$9,000","$9,000",0.9%
,Travis Clayton,RG,Bills,"$1,943,500","$971,750","$8,500","$4,250",0.4%
,Stephen Gosnell,WR,Bills,"$1,943,500","$971,750","$8,500","$4,250",0.4%
,Tyrell Shavers,WR,Bills,"$2,042,000","$1,021,000","$7,000","$3,500",0.3%
,Zion Logue,IDL,Bills,"$2,272,000","$1,136,000","$7,000","$3,500",0.3%
,Keonta Jenkins,LB,Bills,"$2,131,000","$1,065,500","$6,000","$3,000",0.3%
,Nick Broeker,LG,Bills,"$1,080,000","$1,080,000","$5,000","$5,000",0.5%
,Tommy Akingbesote,IDL,Bills,"$1,940,000","$970,000","$5,000","$2,500",0.3%
,Te'Cory Couch,CB,Bills,"$1,939,500","$969,750","$4,500","$2,250",0.2%
,Jimmy Ciarlo,LB,Bills,"$885,000","$442,500","$3,500","$1,750",0.4%
,Joe Andreessen,LB,Bills,"$2,832,500","$944,167","$2,500",$833,0.1%
,M.J. Devonshire,CB,Bills,"$1,936,500","$968,250","$1,500",$750,0.1%
,Alec Anderson,RT,Bills,"$1,030,000","$1,030,000",$0,$0,0.0%
,Jalen Virgil,WR,Bills,"$1,075,000","$1,075,000",$0,$0,0.0%
,Baylon Spector,LB,Bills,"$1,100,000","$1,100,000",$0,$0,0.0%
,Phidarian Mathis,IDL,Bills,"$1,100,000","$1,100,000",$0,$0,0.0%
,Gabriel Davis,WR,Bills,"$1,170,000","$1,170,000",$0,$0,0.0%
,Sam Franklin,S,Bills,"$1,170,000","$1,170,000",$0,$0,0.0%
,Darnell Savage Jr.,S,Bills,"$1,170,000","$1,170,000",$0,$0,0.0%
,Mitch Wishnowsky,P,Bills,"$1,170,000","$1,170,000",$0,$0,0.0%
,Shaq Thompson,LB,Bills,"$1,255,000","$1,255,000",$0,$0,0.0%
